,exp_auc_avg,exp_auc_std,all_spearman,sig_spearman,bkg_spearman,clf_acc,clf_auc
bseed0_pgexplainer,0.9272905196830348,0.9057076321778929,-0.6265702738154834,-0.974841208164487,-0.039721142335085176,0.9728260636329651,0.0
bseed1_pgexplainer,0.771379421301453,0.34593497803566864,0.3154097767157999,-0.17697782290173575,0.35946565535128944,0.9836956262588501,0.0
bseed2_pgexplainer,0.8233021990261911,0.816069203850447,-0.9870834616498603,-0.9358735731721531,-0.9834642728615752,0.9836956262588501,0.0
bseed3_pgexplainer,0.20437701329882219,0.7368770928583805,0.3938143530946375,0.8705208740534829,-0.025563495989360828,0.9836956262588501,0.0
bseed4_pgexplainer,0.9468639390114104,0.9065592141165765,-0.5101044526270531,-0.9701797723543623,0.20426209707531218,0.97826087474823,0.0
bseed5_pgexplainer,0.7321795429391775,0.4204981960606822,0.2419778765484819,-0.6001768159376857,0.5409057853910797,0.989130437374115,0.0
bseed6_pgexplainer,0.9050898669410589,0.6987402185943064,-0.4725600219931872,-0.955763529948313,-0.1267644216151545,0.9945651888847351,0.0
bseed7_pgexplainer,0.9062048794171762,0.9054032432011937,-0.8626767675718111,-0.9729163114952455,-0.6376473577741413,0.9836956262588501,0.0
bseed8_pgexplainer,0.9168222498028691,0.9058685192846476,-0.8438213822695605,-0.9584479180031273,-0.5912393034456909,0.97826087474823,0.0
bseed9_pgexplainer,0.9531052390263796,0.9027130988035422,-0.8020878328559446,-0.9662374762918245,-0.5420666452719891,0.9836956262588501,0.0
