,exp_auc,acc-fidelity+@0.2-all,acc-fidelity+@0.3-all,acc-fidelity+@0.4-all,acc-fidelity+@0.5-all,acc-fidelity+@0.6-all,acc-fidelity+@0.7-all,acc-fidelity+@0.8-all,acc-fidelity+@0.2-pos,acc-fidelity+@0.3-pos,acc-fidelity+@0.4-pos,acc-fidelity+@0.5-pos,acc-fidelity+@0.6-pos,acc-fidelity+@0.7-pos,acc-fidelity+@0.8-pos,acc-fidelity+@0.8-neg,acc-fidelity+@0.7-neg,acc-fidelity+@0.6-neg,acc-fidelity+@0.5-neg,acc-fidelity+@0.4-neg,acc-fidelity+@0.3-neg,acc-fidelity+@0.2-neg,clf_acc,clf_auc,mean_fid
lri_bern_0,1.0,0.2071973830461502,0.2442748099565506,0.28462377190589905,0.3271537721157074,0.36968374252319336,0.3871319591999054,0.36314067244529724,0.9836956262588501,0.9836956262588501,0.9836956262588501,0.97826087474823,0.967391312122345,0.9130434989929199,0.79347825050354,0.25511595606803894,0.25511595606803894,0.21964529156684875,0.16371077299118042,0.10914051532745361,0.058663029223680496,0.012278308160603046,0.9912759065628052,0.9974717497825623,0.3118865873132433
lri_bern_1,1.0,0.19083969295024872,0.22028353810310364,0.2649945616722107,0.3184296488761902,0.3598691523075104,0.3707742691040039,0.3129771053791046,0.8913043737411499,0.8913043737411499,0.9021739363670349,0.89673912525177,0.885869562625885,0.842391312122345,0.7228260636329651,0.21009549498558044,0.2523874342441559,0.22783082723617554,0.17326056957244873,0.10504774749279022,0.051841747015714645,0.015006821602582932,0.9760087132453918,0.9962261319160461,0.2911668526274817
lri_bern_2,1.0,0.41330423951148987,0.36750271916389465,0.3751363158226013,0.4198473393917084,0.4405670762062073,0.442748099565506,0.36968374252319336,0.5869565010070801,0.72826087474823,0.8152173757553101,0.907608687877655,0.929347813129425,0.89673912525177,0.75,0.27421554923057556,0.32878580689430237,0.31787174940109253,0.29740792512893677,0.26466575264930725,0.2769440710544586,0.36971351504325867,0.9792802333831787,0.9964632391929626,0.40411279031208586
lri_bern_3,1.0,0.25190839171409607,0.23664122819900513,0.2715376317501068,0.30316248536109924,0.3184296488761902,0.3162486255168915,0.3064340353012085,0.804347813129425,0.929347813129425,0.9510869383811951,0.9510869383811951,0.9402173757553101,0.89673912525177,0.79347825050354,0.18417462706565857,0.17053206264972687,0.16234652698040009,0.1405184119939804,0.10095497965812683,0.06275580078363419,0.1132332906126976,0.9869138598442078,0.9968785047531128,0.2863374352455139
lri_bern_4,1.0,0.47110140323638916,0.40021809935569763,0.3555070757865906,0.34460195899009705,0.38167938590049744,0.3991276025772095,0.36532169580459595,0.45108696818351746,0.54347825050354,0.679347813129425,0.8260869383811951,0.875,0.8695651888847351,0.7554348111152649,0.2673942744731903,0.2810368239879608,0.257844477891922,0.22373805940151215,0.27421554923057556,0.36425647139549255,0.4761255085468292,0.9880043864250183,0.9972269535064697,0.3882224602358682
lri_bern_5,1.0,0.47546347975730896,0.5430752635002136,0.5038167834281921,0.44820064306259155,0.4885496199131012,0.49182116985321045,0.3936750292778015,0.54347825050354,0.510869562625885,0.657608687877655,0.820652186870575,0.9021739363670349,0.8913043737411499,0.75,0.304229199886322,0.39154160022735596,0.3847203254699707,0.35470667481422424,0.4652114510536194,0.5511596202850342,0.45839017629623413,0.9923664331436157,0.9974048733711243,0.4778002841132028
lri_bern_6,1.0,0.19520173966884613,0.21155942976474762,0.248636856675148,0.29880043864250183,0.3664122223854065,0.39040347933769226,0.3293347954750061,0.967391312122345,0.967391312122345,0.967391312122345,0.95652174949646,0.945652186870575,0.9021739363670349,0.7771739363670349,0.2169167846441269,0.2619372308254242,0.22100955247879028,0.13369713723659515,0.06821282207965851,0.021828103810548782,0.001364256488159299,0.9880043864250183,0.9966115951538086,0.2914784231356212
lri_bern_7,1.0,0.4678298830986023,0.44165757298469543,0.4242093861103058,0.44165757298469543,0.43184295296669006,0.4220283627510071,0.38167938590049744,0.4945652186870575,0.70652174949646,0.8260869383811951,0.9402173757553101,0.945652186870575,0.9130434989929199,0.77173912525177,0.28376534581184387,0.2987721562385559,0.3028649389743805,0.3165075182914734,0.32332879304885864,0.3751705288887024,0.4611186981201172,0.9694656729698181,0.9968340992927551,0.4301293023994991
lri_bern_8,1.0,0.2093784064054489,0.23227916657924652,0.2769901752471924,0.3184296488761902,0.34678298234939575,0.3565976023674011,0.32170119881629944,0.91847825050354,0.9402173757553101,0.95652174949646,0.9510869383811951,0.9619565010070801,0.91847825050354,0.79347825050354,0.2032742202281952,0.21555252373218536,0.19236016273498535,0.15961800515651703,0.10641200840473175,0.05457025766372681,0.03137790039181709,0.9858233332633972,0.9972343444824219,0.2945941686630249
lri_bern_9,1.0,0.2071973830461502,0.3184296488761902,0.40239912271499634,0.42966192960739136,0.4329334795475006,0.4405670762062073,0.410032719373703,0.967391312122345,0.9510869383811951,0.9402173757553101,0.9619565010070801,0.945652186870575,0.9021739363670349,0.782608687877655,0.3165075182914734,0.32469305396080017,0.304229199886322,0.29604366421699524,0.2673942744731903,0.15961800515651703,0.016371076926589012,0.9923664331436157,0.9976348280906677,0.3773173370531627
