,exp_auc,acc-fidelity+@0.2-all,acc-fidelity+@0.3-all,acc-fidelity+@0.4-all,acc-fidelity+@0.5-all,acc-fidelity+@0.6-all,acc-fidelity+@0.7-all,acc-fidelity+@0.8-all,acc-fidelity+@0.2-pos,acc-fidelity+@0.3-pos,acc-fidelity+@0.4-pos,acc-fidelity+@0.5-pos,acc-fidelity+@0.6-pos,acc-fidelity+@0.7-pos,acc-fidelity+@0.8-pos,acc-fidelity+@0.8-neg,acc-fidelity+@0.7-neg,acc-fidelity+@0.6-neg,acc-fidelity+@0.5-neg,acc-fidelity+@0.4-neg,acc-fidelity+@0.3-neg,acc-fidelity+@0.2-neg,clf_acc,clf_auc,mean_fid
vgib_0,1.0,0.18974918127059937,0.19193020462989807,0.19302071630954742,0.2028353363275528,0.221374049782753,0.27262812852859497,0.3206106722354889,0.9619565010070801,0.9619565010070801,0.9619565010070801,0.9619565010070801,0.9510869383811951,0.9402173757553101,0.83152174949646,0.19236016273498535,0.10504774749279022,0.038199182599782944,0.012278308160603046,0.0,-0.001364256488159299,-0.004092769231647253,0.9890948534011841,0.9979684352874756,0.22744975558349065
vgib_1,1.0,0.19520173966884613,0.2257360965013504,0.2977099120616913,0.37840786576271057,0.4634678363800049,0.470010906457901,0.36095964908599854,0.989130437374115,0.9619565010070801,0.9130434989929199,0.91847825050354,0.929347813129425,0.885869562625885,0.7336956262588501,0.2673942744731903,0.3656207323074341,0.34652113914489746,0.24283765256404877,0.14324693381786346,0.040927693247795105,-0.004092769231647253,0.994547426700592,0.9996367692947388,0.3416420008455004
vgib_2,1.0,0.19411122798919678,0.19520173966884613,0.2028353363275528,0.21701200306415558,0.2649945616722107,0.3391493856906891,0.35332605242729187,0.9836956262588501,0.9836956262588501,0.9836956262588501,0.9836956262588501,0.97826087474823,0.9619565010070801,0.8478260636329651,0.22919508814811707,0.18281036615371704,0.0859481617808342,0.024556616321206093,0.006821282207965851,-0.002728512976318598,-0.004092769231647253,0.9923664331436157,0.9992955923080444,0.25237575811999186
vgib_3,1.0,0.19738276302814484,0.19738276302814484,0.21046891808509827,0.23555070161819458,0.28026172518730164,0.32606324553489685,0.3391493856906891,0.9945651888847351,0.989130437374115,0.989130437374115,0.989130437374115,0.97826087474823,0.9510869383811951,0.842391312122345,0.2128240168094635,0.16916780173778534,0.10504774749279022,0.046384721994400024,0.015006821602582932,-0.001364256488159299,-0.002728512976318598,0.9967284798622131,0.9989990592002869,0.2551799288817814
vgib_4,1.0,0.19629225134849548,0.2006543129682541,0.22028353810310364,0.25736096501350403,0.32279172539711,0.36750271916389465,0.36314067244529724,0.989130437374115,0.989130437374115,0.989130437374115,0.9836956262588501,0.97826087474823,0.95652174949646,0.83152174949646,0.24556615948677063,0.21964529156684875,0.1582537591457367,0.07503410428762436,0.027285128831863403,0.002728512976318598,-0.002728512976318598,0.9956379532814026,0.9998220205307007,0.27543231206280844
vgib_5,1.0,0.1864776462316513,0.18865866959095,0.19847328960895538,0.2257360965013504,0.2671755850315094,0.30534350872039795,0.2922573685646057,0.9347826242446899,0.9347826242446899,0.9347826242446899,0.9347826242446899,0.91847825050354,0.8913043737411499,0.7880434989929199,0.1678035408258438,0.1582537591457367,0.10368349403142929,0.047748975455760956,0.013642564415931702,0.001364256488159299,-0.001364256488159299,0.9858233332633972,0.9984281659126282,0.23773173774991715
vgib_6,1.0,0.19629225134849548,0.19956380128860474,0.21155942976474762,0.23555070161819458,0.2835332751274109,0.33260631561279297,0.3565976023674011,0.989130437374115,0.989130437374115,0.989130437374115,0.989130437374115,0.97826087474823,0.9510869383811951,0.842391312122345,0.23465211689472198,0.17735333740711212,0.10914051532745361,0.046384721994400024,0.016371076926589012,0.001364256488159299,-0.002728512976318598,0.9956379532814026,0.9997850656509399,0.25938619673252106
vgib_7,1.0,0.19629225134849548,0.20610687136650085,0.22028353810310364,0.2551799416542053,0.3107960820198059,0.3642311990261078,0.36095964908599854,0.9836956262588501,0.9836956262588501,0.9836956262588501,0.97826087474823,0.9619565010070801,0.945652186870575,0.820652186870575,0.24556615948677063,0.21828103065490723,0.14733970165252686,0.07366985082626343,0.028649386018514633,0.010914051905274391,-0.001364256488159299,0.9956379532814026,0.9998961687088013,0.2734070760863168
vgib_8,1.0,0.19302071630954742,0.19520173966884613,0.2050163596868515,0.23664122819900513,0.27262812852859497,0.33260631561279297,0.3380588889122009,0.97826087474823,0.97826087474823,0.97826087474823,0.97826087474823,0.967391312122345,0.945652186870575,0.83152174949646,0.21418826282024384,0.17871759831905365,0.09822646528482437,0.050477489829063416,0.010914051905274391,-0.001364256488159299,-0.004092769231647253,0.9923664331436157,0.9997182488441467,0.2533104824168341
vgib_9,1.0,0.19738276302814484,0.20174482464790344,0.21592147648334503,0.24972736835479736,0.30098146200180054,0.3478735089302063,0.3707742691040039,1.0,1.0,0.9945651888847351,0.9945651888847351,0.989130437374115,0.9510869383811951,0.842391312122345,0.2523874342441559,0.19645293056964874,0.12824010848999023,0.06275580078363419,0.020463846623897552,0.001364256488159299,-0.004092769231647253,0.9967284798622131,0.9998146891593933,0.2692008103643145
vgib_avg,1.0,0.19422027915716172,0.20021810233592988,0.21755725145339966,0.24940022081136703,0.2988004431128502,0.34580152332782743,0.3455834209918976,0.980434775352478,0.9771739065647125,0.97173912525177,0.9711956441402435,0.963043475151062,0.938043475151062,0.8211956560611725,0.2261937215924263,0.1971350595355034,0.1320600274950266,0.06821282422170043,0.028240109235048293,0.00518417451530695,-0.0031377898063510655,0.9934569299221039,0.9993364214897156,0.2645116058843476
